PDB,Ligand,Code,Pose Number,Resolution(A),Ligand Occupation Factor,IC50(M),log(IC50),pIC50,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
5QB4, lig_1, 965167, 5, 1.95, 1.0,1.3e-09,-8.886056647693163,8.886056647693163,1.715,  5, -1.1102230246251565e-16, -5.28677630773884e-18, 0.0, 25.24854909819641, 0.0, 10, 3, 4, 0, 0, 1, 0, 0, -6.385, 54.211, 857.571, 2.155, 9.357, 5.024, 0.7781512503836436
5QB4, lig_2, 965089, 5, 1.95, 1.0,5.2e-09,-8.2839966563652,8.2839966563652,3.238,  6, -0.996, -0.0415, 0.0, 25.24854909819641, 0.0, 12, 3, 5, 0, 0, 1, 0, 0, -6.49, 45.436, 1033.647, 1.312, 16.051, 3.196, 0.8450980400142568
5QB4, lig_3, 965086, 5, 1.95, 1.0,6.400000000000001e-09,-8.193820026016112,8.193820026016112,4.081,  6, -0.996, -0.0415, 0.0, 25.24854909819641, 0.0, 12, 3, 5, 0, 0, 1, 0, 0, -6.742, 61.468, 1084.741, 2.555, 17.87, 3.949, 0.8450980400142568
5QB4, lig_4, 965092, 5, 1.95, 1.0,7.3e-09,-8.136677139879543,8.136677139879543,2.484,  6, -0.9980000000000002, -0.03441379310344828, 0.0, 25.24854909819641, 0.0, 12, 5, 6, 0, 0, 1, 0, 0, -7.655, 62.461, 1225.906, 1.857, 13.487, 3.923, 0.8450980400142568
5QB4, lig_5, 965152, 5, 1.95, 1.0,1.1000000000000001e-08,-7.958607314841775,7.958607314841775,4.206,  6, -1.0, -0.043478260869565216, 0.0, 25.24854909819641, 0.0, 11, 3, 6, 0, 0, 1, 0, 0, -6.612, 52.881, 963.662, 1.73, 11.278, 4.556, 0.8450980400142568
5QB4, lig_6, 965107, 5, 1.95, 1.0,1.2000000000000002e-08,-7.920818753952375,7.920818753952375,1.863,  5, -0.9980000000000001, -0.04158333333333334, 0.0, 25.24854909819641, 0.0, 13, 3, 6, 0, 0, 1, 0, 0, -7.279, 64.897, 1146.753, 2.687, 16.989, 4.259, 0.7781512503836436
5QB4, lig_7, 965065, 5, 1.95, 1.0,1.4000000000000001e-08,-7.853871964321762,7.853871964321762,2.514,  5, -0.9960000000000001, -0.04330434782608696, 0.0, 25.24854909819641, 0.0, 10, 3, 5, 0, 0, 2, 0, 0, -6.746, 56.546, 1075.166, 1.387, 14.019, 2.222, 0.7781512503836436
5QB4, lig_8, 965059, 5, 1.95, 1.0,1.5000000000000002e-08,-7.823908740944319,7.823908740944319,1.69,  5, -0.997, -0.04531818181818182, 0.0, 25.24854909819641, 0.0, 10, 3, 5, 0, 0, 1, 0, 0, -6.337, 47.373, 977.857, 1.558, 12.304, 3.182, 0.7781512503836436
5QB4, lig_9, 965056, 5, 1.95, 1.0,1.5000000000000002e-08,-7.823908740944319,7.823908740944319,3.021,  5, -0.997, -0.04531818181818182, 0.0, 25.24854909819641, 0.0, 10, 3, 5, 0, 0, 1, 0, 0, -6.136, 41.815, 951.607, 1.203, 11.85, 2.861, 0.7781512503836436
5QB4, lig_10, 965062, 5, 1.95, 1.0,1.7e-08,-7.769551078621726,7.769551078621726,2.023,  5, -0.997, -0.04531818181818182, 0.0, 25.24854909819641, 0.0, 10, 3, 5, 0, 0, 1, 0, 0, -6.617, 60.008, 994.62, 1.007, 9.767, 2.205, 0.7781512503836436
